	Microbe	Supplementation	Microbe_Supplementation	Time	Rep	Root_Length		
1	M.free	Water	M.free_Water	72h	1	2.37		
2	M.free	Water	M.free_Water	72h	1	2.364		
3	M.free	Water	M.free_Water	72h	1	3.07		
4	M.free	Water	M.free_Water	72h	1	2.056		
5	M.free	Water	M.free_Water	72h	1	1.43		
6	M.free	Water	M.free_Water	72h	1	2.37		
7	M.free	Water	M.free_Water	72h	1	1.94		
8	M.free	Water	M.free_Water	72h	1	2.814		
9	M.free	Water	M.free_Water	72h	1	2.511		
10	M.free	Water	M.free_Water	72h	1	2.332		
11	M.free	Water	M.free_Water	72h	1	2.365		
12	M.free	Water	M.free_Water	72h	1	1.758		
13	M.free	Water	M.free_Water	72h	1	2.116		
14	M.free	Water	M.free_Water	72h	1	3.316		
15	M.free	Water	M.free_Water	72h	1	2.365		
16	M.free	Water	M.free_Water	72h	1	1.89		
17	M.free	Water	M.free_Water	72h	1	2.404		
18	M.free	Water	M.free_Water	72h	1	2.474		
19	M.free	Water	M.free_Water	72h	1	1.695		
20	M.free	Water	M.free_Water	72h	1	1.82		
21	M.free	Water	M.free_Water	72h	1	1.933		
22	M.free	Water	M.free_Water	72h	1	1.868		
23	M.free	Water	M.free_Water	72h	1	2.186		
24	M.free	Water	M.free_Water	72h	1	1.954		
25	M.free	Water	M.free_Water	72h	1	2.101		
26	M.free	Water	M.free_Water	72h	1	1.437		
27	M.free	Water	M.free_Water	72h	1	1.925		
28	M.free	Water	M.free_Water	72h	1	2.4		
29	M.free	Water	M.free_Water	72h	1	2.117		
30	M.free	Water	M.free_Water	72h	1	1.736		
31	M.free	Water	M.free_Water	72h	1	2.802		
32	M.free	Water	M.free_Water	72h	1	2.203		
33	M.free	Water	M.free_Water	72h	1	2.282		
34	M.free	Water	M.free_Water	72h	1	2.525		
35	M.free	Water	M.free_Water	72h	1	2.492		
36	M.free	Water	M.free_Water	72h	1	2.412		
37	M.free	Water	M.free_Water	72h	1	2.276		
38	M.free	Water	M.free_Water	72h	1	1.933		
39	M.free	Water	M.free_Water	72h	1	2.889		
40	M.free	Water	M.free_Water	72h	1	2.276		
41	M.free	Water	M.free_Water	72h	1	2.116		
42	M.free	Water	M.free_Water	72h	1	1.81		
43	M.free	Water	M.free_Water	72h	1	2.102		
44	M.free	Water	M.free_Water	72h	1	2.979		
45	M.free	Water	M.free_Water	72h	1	2.188		
46	M.free	Water	M.free_Water	72h	1	1.942		
47	M.free	Water	M.free_Water	72h	1	1.437		
48	M.free	Water	M.free_Water	72h	1	1.925		
49	M.free	Water	M.free_Water	72h	1	2.814		
50	M.free	Water	M.free_Water	72h	1	1.389		
51	M.free	Water	M.free_Water	72h	1	2.437		
52	M.free	Water	M.free_Water	72h	1	1.758		
53	M.free	Water	M.free_Water	72h	1	1.611		
54	M.free	Water	M.free_Water	72h	1	1.942		
55	M.free	Water	M.free_Water	72h	1	1.662		
56	M.free	Water	M.free_Water	72h	1	2.115		
57	M.free	Water	M.free_Water	72h	1	4.081		
58	M.free	Water	M.free_Water	72h	1	1.768		
59	M.free	Water	M.free_Water	72h	1	2.274		
60	M.free	Water	M.free_Water	72h	1	1.672		
61	M.free	Water	M.free_Water	72h	1	1.499		
62	M.free	Water	M.free_Water	72h	1	2.945		
63	M.free	Water	M.free_Water	72h	1	2.387		
64	M.free	Water	M.free_Water	72h	1	1.841		
65	M.free	Water	M.free_Water	72h	1	1.587		
66	M.free	Water	M.free_Water	72h	1	2.03		
67	M.free	Water	M.free_Water	72h	1	1.517		
68	M.free	Water	M.free_Water	72h	1	2.447		
69	M.free	Water	M.free_Water	72h	1	1.672		
70	M.free	Water	M.free_Water	72h	1	1.672		
71	M.free	Water	M.free_Water	72h	1	2.025		
72	M.free	Water	M.free_Water	72h	1	2.166		
73	M.free	Water	M.free_Water	72h	1	2.198		
74	M.free	Water	M.free_Water	72h	1	2.562		
75	M.free	Water	M.free_Water	72h	1	1.935		
76	M.free	Water	M.free_Water	72h	1	2.023		
77	M.free	Water	M.free_Water	72h	1	1.169		
78	M.free	Water	M.free_Water	72h	1	1.558		
79	M.free	Water	M.free_Water	72h	1	1.939		
80	M.free	Water	M.free_Water	72h	1	1.584		
81	M.free	Water	M.free_Water	72h	1	2.637		
82	M.free	Water	M.free_Water	72h	1	2.288		
83	M.free	Water	M.free_Water	72h	1	2.009		
84	M.free	Water	M.free_Water	72h	1	2.375		
85	M.free	Water	M.free_Water	72h	1	1.44		
86	M.free	Water	M.free_Water	72h	1	2.025		
87	M.free	Water	M.free_Water	72h	1	1.943		
88	M.free	Water	M.free_Water	72h	1	2.671		
89	M.free	Water	M.free_Water	72h	1	2.637		
90	M.free	Water	M.free_Water	72h	1	2.286		
91	M.free	Water	M.free_Water	72h	1	1.848		
92	M.free	Water	M.free_Water	72h	1	1.935		
93	M.free	Water	M.free_Water	72h	1	2.398		
94	M.free	Water	M.free_Water	72h	1	2.256		
95	M.free	Water	M.free_Water	72h	1	2.637		
96	M.free	Water	M.free_Water	72h	1	2.111		
97	M.free	Water	M.free_Water	72h	1	2.637		
98	M.free	Water	M.free_Water	72h	1	2.462		
99	M.free	Water	M.free_Water	72h	1	1.499		
100	M.free	Water	M.free_Water	72h	1	1.935		
101	M.free	Water	M.free_Water	72h	2	1.68		
102	M.free	Water	M.free_Water	72h	2	2.706		
103	M.free	Water	M.free_Water	72h	2	1.942		
104	M.free	Water	M.free_Water	72h	2	2.422		
105	M.free	Water	M.free_Water	72h	2	1.236		
106	M.free	Water	M.free_Water	72h	2	2.192		
107	M.free	Water	M.free_Water	72h	2	2.292		
108	M.free	Water	M.free_Water	72h	2	2.286		
109	M.free	Water	M.free_Water	72h	2	1.778		
110	M.free	Water	M.free_Water	72h	2	1.584		
111	M.free	Water	M.free_Water	72h	2	2.438		
112	M.free	Water	M.free_Water	72h	2	2.256		
113	M.free	Water	M.free_Water	72h	2	2.746		
114	M.free	Water	M.free_Water	72h	2	2.256		
115	M.free	Water	M.free_Water	72h	2	2.758		
116	M.free	Water	M.free_Water	72h	2	1.943		
117	M.free	Water	M.free_Water	72h	2	2.313		
118	M.free	Water	M.free_Water	72h	2	2.814		
119	M.free	Water	M.free_Water	72h	2	1.964		
120	M.free	Water	M.free_Water	72h	2	2.387		
121	M.free	Water	M.free_Water	72h	2	1.937		
122	M.free	Water	M.free_Water	72h	2	1.972		
123	M.free	Water	M.free_Water	72h	2	2.584		
124	M.free	Water	M.free_Water	72h	2	1.533		
125	M.free	Water	M.free_Water	72h	2	2.286		
126	M.free	Water	M.free_Water	72h	2	1.937		
127	M.free	Water	M.free_Water	72h	2	1.935		
128	M.free	Water	M.free_Water	72h	2	2.637		
129	M.free	Water	M.free_Water	72h	2	1.672		
130	M.free	Water	M.free_Water	72h	2	2.311		
131	M.free	Water	M.free_Water	72h	2	1.705		
132	M.free	Water	M.free_Water	72h	2	3.007		
133	M.free	Water	M.free_Water	72h	2	1.584		
134	M.free	Water	M.free_Water	72h	2	1.584		
135	M.free	Water	M.free_Water	72h	2	2.467		
136	M.free	Water	M.free_Water	72h	2	2.311		
137	M.free	Water	M.free_Water	72h	2	2.133		
138	M.free	Water	M.free_Water	72h	2	2.2		
139	M.free	Water	M.free_Water	72h	2	1.578		
140	M.free	Water	M.free_Water	72h	2	2.117		
141	M.free	Water	M.free_Water	72h	2	2.049		
142	M.free	Water	M.free_Water	72h	2	1.672		
143	M.free	Water	M.free_Water	72h	2	2.039		
144	M.free	Water	M.free_Water	72h	2	2.126		
145	M.free	Water	M.free_Water	72h	2	1.76		
146	M.free	Water	M.free_Water	72h	2	2.374		
147	M.free	Water	M.free_Water	72h	2	1.411		
148	M.free	Water	M.free_Water	72h	2	2.498		
149	M.free	Water	M.free_Water	72h	2	1.447		
150	M.free	Water	M.free_Water	72h	2	2.462		
151	M.free	Water	M.free_Water	72h	2	2.9		
152	M.free	Water	M.free_Water	72h	2	2.989		
153	M.free	Water	M.free_Water	72h	2	3.251		
154	M.free	Water	M.free_Water	72h	2	1.058		
155	M.free	Water	M.free_Water	72h	2	1.855		
156	M.free	Water	M.free_Water	72h	2	2.152		
157	M.free	Water	M.free_Water	72h	2	1.234		
158	M.free	Water	M.free_Water	72h	2	2.085		
159	M.free	Water	M.free_Water	72h	2	1.321		
160	M.free	Water	M.free_Water	72h	2	2.226		
161	M.free	Water	M.free_Water	72h	2	1.447		
162	M.free	Water	M.free_Water	72h	2	2.286		
163	M.free	Water	M.free_Water	72h	2	1.849		
164	M.free	Water	M.free_Water	72h	2	2.343		
165	M.free	Water	M.free_Water	72h	2	2.198		
166	M.free	Water	M.free_Water	72h	2	3.065		
167	M.free	Water	M.free_Water	72h	2	1.672		
168	M.free	Water	M.free_Water	72h	2	1.76		
169	M.free	Water	M.free_Water	72h	2	2.224		
170	M.free	Water	M.free_Water	72h	2	2.463		
171	M.free	Water	M.free_Water	72h	2	2.224		
172	M.free	Water	M.free_Water	72h	2	2.911		
173	M.free	Water	M.free_Water	72h	2	3.251		
174	M.free	Water	M.free_Water	72h	2	1.76		
175	M.free	Water	M.free_Water	72h	2	1.883		
176	M.free	Water	M.free_Water	72h	2	2.637		
177	M.free	Water	M.free_Water	72h	2	2.475		
178	M.free	Water	M.free_Water	72h	2	2.628		
179	M.free	Water	M.free_Water	72h	2	2.214		
180	M.free	Water	M.free_Water	72h	2	1.925		
181	M.free	Water	M.free_Water	72h	2	2.412		
182	M.free	Water	M.free_Water	72h	2	2.136		
183	M.free	Water	M.free_Water	72h	2	2.504		
184	M.free	Water	M.free_Water	72h	2	1.885		
185	M.free	Water	M.free_Water	72h	2	1.746		
186	M.free	Water	M.free_Water	72h	2	3.095		
187	M.free	Water	M.free_Water	72h	2	1.925		
188	M.free	Water	M.free_Water	72h	2	2.214		
189	M.free	Water	M.free_Water	72h	2	2.627		
190	M.free	Water	M.free_Water	72h	2	2.128		
191	M.free	Water	M.free_Water	72h	2	2.101		
192	M.free	Water	M.free_Water	72h	2	2.29		
193	M.free	Water	M.free_Water	72h	2	1.838		
194	M.free	Water	M.free_Water	72h	2	2.552		
195	M.free	Water	M.free_Water	72h	2	2.761		
196	M.free	Water	M.free_Water	72h	2	3.172		
197	M.free	Water	M.free_Water	72h	2	2.257		
198	M.free	Water	M.free_Water	72h	2	3.085		
199	M.free	Water	M.free_Water	72h	2	3.426		
200	M.free	Water	M.free_Water	72h	2	2.983		
201	M.free	Water	M.free_Water	72h	3	2.39		
202	M.free	Water	M.free_Water	72h	3	2.277		
203	M.free	Water	M.free_Water	72h	3	2.218		
204	M.free	Water	M.free_Water	72h	3	2.202		
205	M.free	Water	M.free_Water	72h	3	2.436		
206	M.free	Water	M.free_Water	72h	3	2.203		
207	M.free	Water	M.free_Water	72h	3	2.051		
208	M.free	Water	M.free_Water	72h	3	2.337		
209	M.free	Water	M.free_Water	72h	3	1.963		
210	M.free	Water	M.free_Water	72h	3	2.636		
211	M.free	Water	M.free_Water	72h	3	2.558		
212	M.free	Water	M.free_Water	72h	3	2.552		
213	M.free	Water	M.free_Water	72h	3	2.081		
214	M.free	Water	M.free_Water	72h	3	2.741		
215	M.free	Water	M.free_Water	72h	3	2.302		
216	M.free	Water	M.free_Water	72h	3	1.539		
217	M.free	Water	M.free_Water	72h	3	1.898		
218	M.free	Water	M.free_Water	72h	3	1.399		
219	M.free	Water	M.free_Water	72h	3	1.326		
220	M.free	Water	M.free_Water	72h	3	2.2		
221	M.free	Water	M.free_Water	72h	3	2.174		
222	M.free	Water	M.free_Water	72h	3	2.335		
223	M.free	Water	M.free_Water	72h	3	2.232		
224	M.free	Water	M.free_Water	72h	3	2.465		
225	M.free	Water	M.free_Water	72h	3	2.736		
226	M.free	Water	M.free_Water	72h	3	2.637		
227	M.free	Water	M.free_Water	72h	3	2.566		
228	M.free	Water	M.free_Water	72h	3	1.612		
229	M.free	Water	M.free_Water	72h	3	2.689		
230	M.free	Water	M.free_Water	72h	3	2.051		
231	M.free	Water	M.free_Water	72h	3	2.018		
232	M.free	Water	M.free_Water	72h	3	2.251		
233	M.free	Water	M.free_Water	72h	3	2.442		
234	M.free	Water	M.free_Water	72h	3	1.247		
235	M.free	Water	M.free_Water	72h	3	2.067		
236	M.free	Water	M.free_Water	72h	3	1.866		
237	M.free	Water	M.free_Water	72h	3	2.469		
238	M.free	Water	M.free_Water	72h	3	1.645		
239	M.free	Water	M.free_Water	72h	3	2.302		
240	M.free	Water	M.free_Water	72h	3	2.746		
241	M.free	Water	M.free_Water	72h	3	2.544		
242	M.free	Water	M.free_Water	72h	3	2.24		
243	M.free	Water	M.free_Water	72h	3	2.767		
244	M.free	Water	M.free_Water	72h	3	2.008		
245	M.free	Water	M.free_Water	72h	3	2.212		
246	M.free	Water	M.free_Water	72h	3	1.972		
247	M.free	Water	M.free_Water	72h	3	2.681		
248	M.free	Water	M.free_Water	72h	3	2.361		
249	M.free	Water	M.free_Water	72h	3	2.509		
250	M.free	Water	M.free_Water	72h	3	2.746		
251	M.free	Water	M.free_Water	72h	3	2.109		
252	M.free	Water	M.free_Water	72h	3	2.561		
253	M.free	Water	M.free_Water	72h	3	1.988		
254	M.free	Water	M.free_Water	72h	3	1.457		
255	M.free	Water	M.free_Water	72h	3	2.344		
256	M.free	Water	M.free_Water	72h	3	1.966		
257	M.free	Water	M.free_Water	72h	3	1.851		
258	M.free	Water	M.free_Water	72h	3	1.857		
259	M.free	Water	M.free_Water	72h	3	1.843		
260	M.free	Water	M.free_Water	72h	3	2.328		
261	M.free	Water	M.free_Water	72h	3	2.813		
262	M.free	Water	M.free_Water	72h	3	2.448		
263	M.free	Water	M.free_Water	72h	3	2.421		
264	M.free	Water	M.free_Water	72h	3	2.391		
265	M.free	Water	M.free_Water	72h	3	2.501		
266	M.free	Water	M.free_Water	72h	3	2.747		
267	M.free	Water	M.free_Water	72h	3	2.804		
268	M.free	Water	M.free_Water	72h	3	2.621		
269	M.free	Water	M.free_Water	72h	3	2.581		
270	M.free	Water	M.free_Water	72h	3	2.066		
271	M.free	Water	M.free_Water	72h	3	2.761		
272	M.free	Water	M.free_Water	72h	3	2.146		
273	M.free	Water	M.free_Water	72h	3	1.978		
274	M.free	Water	M.free_Water	72h	3	1.968		
275	M.free	Water	M.free_Water	72h	3	1.881		
276	M.free	Water	M.free_Water	72h	3	2.148		
277	M.free	Water	M.free_Water	72h	3	2.142		
278	M.free	Water	M.free_Water	72h	3	2.351		
279	M.free	Water	M.free_Water	72h	3	2.64		
280	M.free	Water	M.free_Water	72h	3	2.347		
281	M.free	Water	M.free_Water	72h	3	2.079		
282	M.free	Water	M.free_Water	72h	3	1.828		
283	M.free	Water	M.free_Water	72h	3	1.939		
284	M.free	Water	M.free_Water	72h	3	2.772		
285	M.free	Water	M.free_Water	72h	3	2.522		
286	M.free	Water	M.free_Water	72h	3	1.959		
287	M.free	Water	M.free_Water	72h	3	2.592		
288	M.free	Water	M.free_Water	72h	3	2.521		
289	M.free	Water	M.free_Water	72h	3	2.441		
290	M.free	Water	M.free_Water	72h	3	2.38		
291	M.free	Water	M.free_Water	72h	3	2.079		
292	M.free	Water	M.free_Water	72h	3	1.961		
293	M.free	Water	M.free_Water	72h	3	2.039		
294	M.free	Water	M.free_Water	72h	3	1.975		
295	M.free	Water	M.free_Water	72h	3	2.722		
296	M.free	Water	M.free_Water	72h	3	2.196		
297	M.free	Water	M.free_Water	72h	3	2.323		
298	M.free	Water	M.free_Water	72h	3	2.745		
299	M.free	Water	M.free_Water	72h	3	1.907		
300	M.free	Water	M.free_Water	72h	3	2.704		
301	M.free	Water	M.free_Water	72h	4	2.299		
302	M.free	Water	M.free_Water	72h	4	2.28		
303	M.free	Water	M.free_Water	72h	4	1.928		
304	M.free	Water	M.free_Water	72h	4	2.664		
305	M.free	Water	M.free_Water	72h	4	2.792		
306	M.free	Water	M.free_Water	72h	4	2.701		
307	M.free	Water	M.free_Water	72h	4	2.058		
308	M.free	Water	M.free_Water	72h	4	2.188		
309	M.free	Water	M.free_Water	72h	4	2.483		
310	M.free	Water	M.free_Water	72h	4	2.541		
311	M.free	Water	M.free_Water	72h	4	2.145		
312	M.free	Water	M.free_Water	72h	4	2.389		
313	M.free	Water	M.free_Water	72h	4	1.42		
314	M.free	Water	M.free_Water	72h	4	2.367		
315	M.free	Water	M.free_Water	72h	4	2.331		
316	M.free	Water	M.free_Water	72h	4	2.504		
317	M.free	Water	M.free_Water	72h	4	2.337		
318	M.free	Water	M.free_Water	72h	4	1.496		
319	M.free	Water	M.free_Water	72h	4	2.324		
320	M.free	Water	M.free_Water	72h	4	2.124		
321	M.free	Water	M.free_Water	72h	4	2.137		
322	M.free	Water	M.free_Water	72h	4	2.342		
323	M.free	Water	M.free_Water	72h	4	1.67		
324	M.free	Water	M.free_Water	72h	4	2.727		
325	M.free	Water	M.free_Water	72h	4	2.026		
326	M.free	Water	M.free_Water	72h	4	2.175		
327	M.free	Water	M.free_Water	72h	4	2.639		
328	M.free	Water	M.free_Water	72h	4	2.133		
